Date,Team Name,Half,Officials,Time On Court,Player 1,Player 2,Player 3,Player 4,Player 5,Points,Opp Points,Rebounds,Assists,3pt Made,3pt Att,Shots Made,Shots Att,FT Made,FT Att,Layup Atts,Dunk Atts,Turnovers,Fouls,Average Shot Distance
3-Jun-18,WARRIORS,1,"Mike Callahan, Derrick Stafford, David Guthrie",446,JaVale McGee,Klay Thompson,Kevin Durant,Stephen Curry,Draymond Green,21,17,6,7,1,4,10,12,0,0,3,3,3,4,0
3-Jun-18,CAVALIERS,1,"Mike Callahan, Derrick Stafford, David Guthrie",446,Tristan Thompson,George Hill,Kevin Love,LeBron James,JR Smith,17,21,5,4,2,4,7,15,1,2,5,1,3,1,0
3-Jun-18,WARRIORS,1,"Mike Callahan, Derrick Stafford, David Guthrie",75,Jordan Bell,Klay Thompson,Kevin Durant,Stephen Curry,Draymond Green,5,2,1,2,1,2,2,3,0,0,1,1,0,1,0
3-Jun-18,CAVALIERS,1,"Mike Callahan, Derrick Stafford, David Guthrie",170,Jeff Green,George Hill,Kevin Love,LeBron James,JR Smith,7,9,6,2,0,2,2,6,3,4,2,0,0,0,0
3-Jun-18,WARRIORS,1,"Mike Callahan, Derrick Stafford, David Guthrie",26,Jordan Bell,Klay Thompson,Shaun Livingston,Stephen Curry,Draymond Green,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0
3-Jun-18,WARRIORS,1,"Mike Callahan, Derrick Stafford, David Guthrie",69,Jordan Bell,Klay Thompson,Shaun Livingston,Stephen Curry,Kevon Looney,4,3,1,1,0,0,2,3,0,0,1,1,0,0,0
3-Jun-18,WARRIORS,1,"Mike Callahan, Derrick Stafford, David Guthrie",96,Jordan Bell,Nick Young,Shaun Livingston,Stephen Curry,Kevon Looney,2,4,3,1,0,1,1,3,0,0,1,0,1,1,0
3-Jun-18,CAVALIERS,1,"Mike Callahan, Derrick Stafford, David Guthrie",0,Jeff Green,George Hill,Kyle Korver,LeBron James,JR Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Jun-18,CAVALIERS,1,"Mike Callahan, Derrick Stafford, David Guthrie",29,Jeff Green,George Hill,Kyle Korver,LeBron James,Larry Nance Jr.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3-Jun-18,CAVALIERS,1,"Mike Callahan, Derrick Stafford, David Guthrie",67,Jeff Green,Jordan Clarkson,Kyle Korver,LeBron James,Larry Nance Jr.,4,2,0,0,0,0,1,1,2,2,0,0,0,1,0
3-Jun-18,WARRIORS,1,"Mike Callahan, Derrick Stafford, David Guthrie",0,Kevin Durant,Nick Young,Shaun Livingston,Stephen Curry,Kevon Looney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Jun-18,WARRIORS,1,"Mike Callahan, Derrick Stafford, David Guthrie",0,Kevin Durant,Nick Young,Shaun Livingston,Stephen Curry,Klay Thompson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Jun-18,WARRIORS,1,"Mike Callahan, Derrick Stafford, David Guthrie",19,Kevin Durant,Nick Young,Draymond Green,Stephen Curry,Klay Thompson,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
