slugTeam,dateGame,numberGameTeamSeason,isB2B,isB2BSecond,countDaysRestTeam,slugOpponent,opp_numberGameTeamSeason,opp_isB2B,opp_isB2BSecond,opp_countDaysRestTeam,locationGame,outcomeGame,act_pts,act_opp_pts,act_net_pts,pts1,fgm1,fga1,pctFG1,opp_pctFG1,fg3m1,fg3a1,pctFG31,opp_pctFG31,fg2m1,fg2a1,pctFG21,opp_pctFG21,ftm1,fta1,pctFT1,opp_pctFT1,oreb1,dreb1,treb1,ast1,stl1,blk1,tov1,pf1,wins1,losses1,pts2,fgm2,fga2,pctFG2,opp_pctFG2,fg3m2,fg3a2,pctFG32,opp_pctFG32,fg2m2,fg2a2,pctFG22,opp_pctFG22,ftm2,fta2,pctFT2,opp_pctFT2,oreb2,dreb2,treb2,ast2,stl2,blk2,tov2,pf2,wins2,losses2
ATL,10/20/2017,2,FALSE,FALSE,1,CHA,2,FALSE,FALSE,1,A,L,91,109,-18,6,10,8,0.510638298,0.441860465,-8,-27,0.5,0.377777778,18,35,0.513157895,0.512195122,-6,-6,0.8,0.857142857,5,4,9,-7,6,2,-6,-1,1,0,-12,-12,-23,0.397260274,0.427083333,0,4,0.3,0.346153846,-12,-27,0.465116279,0.457142857,12,17,0.793103448,0.916666667,-6,6,0,-8,-10,0,-4,-6,0,1
BKN,10/20/2017,2,FALSE,FALSE,1,ORL,2,TRUE,FALSE,1,H,W,126,121,5,-9,-8,-8,0.478723404,0.519607843,3,-4,0.4,0.264705882,-11,-4,0.515625,0.647058824,4,0,0.90625,0.78125,-3,-1,-4,-7,-5,-7,-5,0,0,1,7,-1,-11,0.477777778,0.435643564,0,-9,0.380952381,0.266666667,-1,-2,0.507246377,0.507042254,9,12,0.75862069,0.764705882,0,6,6,-5,2,5,-6,-2,1,0
BOS,10/20/2017,3,FALSE,FALSE,1,PHI,2,TRUE,FALSE,1,A,W,102,92,10,-5.5,-0.5,10,0.418994413,0.477987421,3.5,8.5,0.316666667,0.279069767,-4,1.5,0.470588235,0.551724138,-8,-4.5,0.652173913,0.836363636,2.5,-5.5,-3,4.5,7,-1,-12.5,2,0,2,-5,1,-4,0.462365591,0.432989691,9,13,0.428571429,0.272727273,-8,-17,0.482758621,0.48,-16,-19,0.736842105,0.789473684,-5,1,-4,4,-2,-4,-3,8,0,1
CHA,10/20/2017,2,FALSE,FALSE,1,ATL,2,FALSE,FALSE,1,H,W,109,91,18,-12,-12,-23,0.397260274,0.427083333,0,4,0.3,0.346153846,-12,-27,0.465116279,0.457142857,12,17,0.793103448,0.916666667,-6,6,0,-8,-10,0,-4,-6,0,1,6,10,8,0.510638298,0.441860465,-8,-27,0.5,0.377777778,18,35,0.513157895,0.512195122,-6,-6,0.8,0.857142857,5,4,9,-7,6,2,-6,-1,1,0
CLE,10/20/2017,2,TRUE,FALSE,2,MIL,2,TRUE,FALSE,1,A,W,116,97,19,3,2,-5,0.457831325,0.409090909,-3,-10,0.227272727,0.25,5,5,0.540983607,0.5,2,0,0.84,0.76,0,4,4,-5,-8,0,-7,1,1,0,8,-1,-15,0.5,0.428571429,-4,-7,0.333333333,0.392857143,3,-8,0.563636364,0.444444444,14,9,0.833333333,0.523809524,-5,7,2,-4,-6,2,-12,-5,1,0
DAL,10/20/2017,2,TRUE,FALSE,1,SAC,2,TRUE,FALSE,1,H,L,88,93,-5,-6,-10,-8,0.441860465,0.510638298,8,27,0.377777778,0.5,-18,-35,0.512195122,0.513157895,6,6,0.857142857,0.8,-5,-4,-9,7,-6,-2,-3,1,0,1,-5,9,5,0.477272727,0.397590361,-4,-22,0.347826087,0.266666667,13,27,0.523076923,0.552631579,-19,-19,0.8,0.931034483,-3,1,-2,0,-2,1,3,6,0,1
DET,10/20/2017,2,TRUE,FALSE,1,WAS,2,FALSE,FALSE,1,A,L,111,115,-4,12,12,23,0.427083333,0.397260274,0,-4,0.346153846,0.3,12,27,0.457142857,0.465116279,-12,-17,0.916666667,0.793103448,6,-6,0,8,10,0,-7,6,1,0,5,-1,4,0.432989691,0.462365591,-9,-13,0.272727273,0.428571429,8,17,0.48,0.482758621,16,19,0.789473684,0.736842105,5,-1,4,-4,2,4,-19,-8,1,0
GSW,10/20/2017,2,TRUE,FALSE,2,NOP,2,FALSE,FALSE,1,A,W,128,120,8,-1,-4,-17,0.5375,0.484536082,1,-11,0.533333333,0.365853659,-5,-6,0.54,0.571428571,6,2,0.904761905,0.684210526,-4,2,-2,6,-4,4,1,9,0,1,-12,-9,-13,0.379746835,0.423913043,-2,-4,0.28,0.310344828,-7,-9,0.425925926,0.476190476,8,1,0.827586207,0.571428571,1,5,6,-4,-5,4,-12,2,0,1
IND,10/20/2017,2,TRUE,FALSE,1,POR,2,TRUE,FALSE,1,H,L,96,114,-18,9,8,8,0.519607843,0.478723404,-3,4,0.264705882,0.4,11,4,0.647058824,0.515625,-4,0,0.78125,0.90625,3,1,4,7,5,7,-11,0,1,0,48,16,1,0.488888889,0.314606742,7,-3,0.583333333,0.259259259,9,4,0.454545455,0.338709677,9,10,0.785714286,0.722222222,5,19,24,12,-1,-1,-6,-2,1,0
LAL,10/20/2017,2,TRUE,TRUE,0,PHX,2,TRUE,FALSE,1,A,W,132,130,2,-16,-5,-16,0.406593407,0.392523364,-8,-17,0.25,0.363636364,3,1,0.44,0.405405405,2,10,0.608695652,0.923076923,-5,-2,-7,-2,-4,4,-1,-5,0,1,-48,-16,-1,0.314606742,0.488888889,-7,3,0.259259259,0.583333333,-9,-4,0.338709677,0.454545455,-9,-10,0.722222222,0.785714286,-5,-19,-24,-12,1,1,-4,2,0,1
